group,title,member,keyword,thumbnail
All,All,All,"['노래', '뮤비', '사랑해', '화이팅', '응원']",
FIFTY FIFTY,All,All,"['노래', '피프티', '응원', '대표', '멤버']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/fiftyfifty.jpg?raw=true
FIFTY FIFTY,Cupid,Cupid,"['노래', '대표', '피프티', '멤버', '한국']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/fiftyfifty.jpg?raw=true
FIFTY FIFTY,Higher,Higher,"['노래', '음색', '아란', '목소리', '피프티']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/fiftyfifty.jpg?raw=true
FIFTY FIFTY,Lovin' Me,Lovin' Me,"['노래', '피프티', '큐피드', '뮤비', '음악']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/fiftyfifty.jpg?raw=true
FIFTY FIFTY,SOS,SOS,"['노래', '피프티', '응원', '대표', '앨범']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/fiftyfifty.jpg?raw=true
FIFTY FIFTY,Starry Night,Starry Night,"['노래', '피프티', '응원', '대표', '멤버']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/fiftyfifty.jpg?raw=true
ITZY,All,All,"['노래', '류진', '한국인', '사랑해', '채령']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/itzy.jpg?raw=true
ITZY,BET ON ME,BET ON ME,"['노래', '사랑해', '가사', '류진', '유나']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/itzy.jpg?raw=true
ITZY,BORN TO BE,BORN TO BE,"['노래', '리아', '사랑해', '퍼포먼스', '유나']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/itzy.jpg?raw=true
ITZY,Boys Like You,Boys Like You,"['노래', '채령', '리아', '테일러', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/itzy.jpg?raw=true
ITZY,CAKE,CAKE,"['노래', '케이크', '사랑해', '뮤비', '컴백']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/itzy.jpg?raw=true
ITZY,Cheshire,Cheshire,"['노래', '사랑해', '예지', '체셔', '컴백']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/itzy.jpg?raw=true
ITZY,ICY,ICY,"['노래', '한국인', '예지', '뮤비', '사랑해']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/itzy.jpg?raw=true
ITZY,LOCO,LOCO,"['노래', '사랑해', '예지', '류진', '뮤비']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/itzy.jpg?raw=true
