,Group,Title,Member,keyword,thumbnail
0,FIFTY FIFTY,All,문샤넬,"['피프티', '노래', '응원', '대표', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%86%E1%85%AE%E1%86%AB%E1%84%89%E1%85%A3%E1%84%82%E1%85%A6%E1%86%AF.jpeg?raw=true
1,FIFTY FIFTY,All,새나,"['노래', '응원', '생일', '화이팅', '피프티']",
2,FIFTY FIFTY,All,시오,"['노래', '목소리', '음색', '보컬', '피프티']",
3,FIFTY FIFTY,All,아란,"['음색', '목소리', '노래', '피프티', '보컬']",
4,FIFTY FIFTY,All,아테나,"['피프티', '노래', '응원', '대표', '음색']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8B%E1%85%A1%E1%84%90%E1%85%A6%E1%84%82%E1%85%A1.jpeg?raw=true
5,FIFTY FIFTY,All,예원,"['피프티', '노래', '응원', '화이팅', '대표']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8B%E1%85%A8%E1%84%8B%E1%85%AF%E1%86%AB.jpeg?raw=true
6,FIFTY FIFTY,All,키나,"['노래', '피프티', '응원', '멤버', '화이팅']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%8F%E1%85%B5%E1%84%82%E1%85%A1.jpeg?raw=true
7,FIFTY FIFTY,All,하나,"['노래', '피프티', '멤버', '생일', '대표']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%92%E1%85%A1%E1%84%82%E1%85%A1.jpeg?raw=true
8,FIFTY FIFTY,Cupid,문샤넬,"['디올', '주제', '큐피드', '예감', '피프티']",https://github.com/2024-NIPA-google-trendpop/youtube_dashboard/blob/main/artist_image/%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5%E1%84%91%E1%85%B5%E1%84%91%E1%85%B3%E1%84%90%E1%85%B5_%E1%84%86%E1%85%AE%E1%86%AB%E1%84%89%E1%85%A3%E1%84%82%E1%85%A6%E1%86%AF.jpeg?raw=true
9,FIFTY FIFTY,Cupid,새나,"['생일', '응원', '사랑해', '노래', '파트']",
